source_ledger,source_row,source_id,title,url,source_date,checked,evidence_category,bounded_claim,retrieval_depth,limitation
evidence-and-design-ledger.csv,24,B15,"B15: Australian Digital Inclusion Index: the AI divide, age comparison; self-reported recent use.",https://digitalinclusionindex.org.au/case-study-the-ai-divide-in-australia/,18 September 2025 case study; 2024 survey,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Large age difference in recent AI use,Full case-study page read; Figure 1 age comparison,Self-report; recent use is not durable learning
evidence-and-design-ledger.csv,25,B16,"B16: Bastani et al., PNAS (2025); affiliation correction. Full-text XML retrieved through Europe PMC; summary and correction checked, no independent statistical replication.",https://doi.org/10.1073/pnas.2422633122 ; https://doi.org/10.1073/pnas.2518204122,2025 paper; August correction,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Assisted performance and unaided learning can diverge,Europe PMC full XML retrieved; summary and correction checked; no statistical replication,School mathematics; correction only author affiliation
evidence-and-design-ledger.csv,26,B17,"B17: Kestin et al., Scientific Reports (2025). Full-text XML retrieved through Europe PMC; abstract/design and population checked.",https://doi.org/10.1038/s41598-025-97652-6,2025 paper,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Designed AI tutor showed learning benefits,Europe PMC full XML retrieved; abstract/design and population checked,Small specific short-term educational setting
evidence-and-design-ledger.csv,27,B18,"B18: eSafety: Deepfakes, risk and response account; evidence of a threat, not programme efficacy.",https://www.esafety.gov.au/industry/tech-trends-and-challenges/deepfakes,Current at retrieval,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Deepfake deception and abuse are relevant harms,Full official page retrieved; threat/response account checked,Does not establish that more personal AI use prevents harm
evidence-and-design-ledger.csv,28,B19,"B19: McKenzie and Sansone, World Bank Working Paper 8271 (2017), abstract, introduction and study context; later published in 2019 as *Predicting entrepreneurial success is hard*. Historical machine learning is not current generative AI.",https://documents1.worldbank.org/curated/en/968231513116778571/pdf/WPS8271.pdf,2017 working paper; 2019 journal article,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Predicting business outcomes is difficult,"Primary PDF abstract, introduction and context read",Selected Nigerian applicants and older ML; not current generative AI
evidence-and-design-ledger.csv,29,B20,"B20: Australian National AI Plan, launch date and goals; detailed programme fit is B2 work.",https://www.industry.gov.au/publications/national-ai-plan,2 December 2025,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,Existing national policy context,Official publication page and goals read; all plan chapters not appraised,Does not establish funding for this proposal
evidence-and-design-ledger.csv,30,B21,"B21: myGov: create an account, existing account function; no AI settlement capability inferred.",https://my.gov.au/en/about/help/mygov-website/create-mygov-account,Current at retrieval,2026-09-09,OBSERVED SOURCE; TRANSFER IS INFERENCE,"Existing service-linked account, not an AI payment claim",Full official help page retrieved,No settlement capability or nominated administrator inferred
evidence-and-design-ledger.csv,31,S01,Simultaneous House/half-Senate and House-only table,https://www.aph.gov.au/About_Parliament/Parliamentary_departments/Parliamentary_Library/Research/FlagPost/2025/August/When_is_the_next_federal_election,August 2025 timetable,2026-09-09,OBSERVED SOURCE,Ordinary simultaneous window; House-only can be earlier; no fixed next date,Official indexed table retrieved; direct fetch failed and urllib returned 403,Constitutional timetable is not prediction or evidence of voter support
evidence-and-design-ledger.csv,40,ORW01,Series index verdict and earlier brief antecedent register,https://research.ourresilient.world/research/index.html,Existing public collection,2026-09-09,PRIOR ORW ANTECEDENT,Creation merits investigation; comparative dominance unestablished,"Index HTML retrieved with urllib after web-tool access failed; scoping summaries, not full claim audit of 12 reports",Do not infer P1-P3 proven or change earlier verdicts
evidence-and-design-ledger.csv,41,ORW02,Series index verdict and earlier brief antecedent register,https://research.ourresilient.world/research/index.html,Existing public collection,2026-09-09,PRIOR ORW ANTECEDENT,Benefits conditional on governance/delivery,"Index HTML retrieved with urllib after web-tool access failed; scoping summaries, not full claim audit of 12 reports",Do not infer P1-P3 proven or change earlier verdicts
evidence-and-design-ledger.csv,42,ORW03,Series index verdict and earlier brief antecedent register,https://research.ourresilient.world/research/index.html,Existing public collection,2026-09-09,PRIOR ORW ANTECEDENT,Binding governance and local public benefit,"Index HTML retrieved with urllib after web-tool access failed; scoping summaries, not full claim audit of 12 reports",Do not infer P1-P3 proven or change earlier verdicts
evidence-and-design-ledger.csv,43,ORW04,Series index verdict and earlier brief antecedent register,https://research.ourresilient.world/research/index.html,Existing public collection,2026-09-09,PRIOR ORW ANTECEDENT,No function demonstrated necessary under its test; broad civic effects unresolved,"Index HTML retrieved with urllib after web-tool access failed; scoping summaries, not full claim audit of 12 reports",Do not infer P1-P3 proven or change earlier verdicts
historical-working-hours-source-ledger.csv,2,HH01,Historical account of working-time cases,https://www.fwc.gov.au/about-us/history-sir-richard-kirby-archives/waltzing-matilda-and-sunshine-harvester-factory-6,undated history; events 1945–1986,2026-09-09,institutional history,Arbitration history and later 38-hour route,relevant full HTML passages,Not a causal economic evaluation
historical-working-hours-source-ledger.csv,3,HH02,Standard Hours Inquiry (1947) 59 CAR 581,https://www.fwc.gov.au/documents/resources/1947-59-car-581.pdf,1947-09-08,2026-09-09,original judgment and orders,Award implementation and wage adjustment,PDF downloaded; text extracted; relevant judgment and orders read,OCR checked in context; judicial forecasts are not observed outcomes; later web refetch timed out
historical-working-hours-source-ledger.csv,4,HH03,Die Tariferfolge der IG Metall,https://www.igmetall.de/ueber-uns/geschichte/die-tariferfolge-der-ig-metall,undated chronology; events 1956–1995,2026-09-09,participant institutional chronology,Sectoral stages and wage compensation,relevant full HTML entries,Not national universal coverage or independent impact evaluation; intermediate 1960s figures differ internally and are not used
historical-working-hours-source-ledger.csv,5,HH04,Der Kampf um die 35-Stunden-Woche,https://www.igmetall.de/en/ueber-uns/geschichte/der-kampf-um-die-35-stunden-woche,undated retrospective; event 1984,2026-09-09,participant history,Industrial action and bargaining process,relevant full HTML narrative,Union perspective; not independent economic evidence
historical-working-hours-source-ledger.csv,6,HH05,A Short History of Flexible Hours – Historical Baselines of Working Time Policy in Germany,https://doku.iab.de/discussionpapers/2021/dp1721.pdf,2021,2026-09-09,original historical analysis,Prosperity context and flexibility trade-off,PDF downloaded; text extracted; relevant sections read,Broad 1956–66 chronology differs from named union sector endpoint 1967; distinction retained
historical-working-hours-source-ledger.csv,7,HH06,Has Work-Sharing Worked in Germany?,https://doi.org/10.1162/003355399555963,1999; QJE 114(1):117–148,2026-09-09,peer-reviewed original study,Pay compensation; possible adverse employment,publisher abstract and bibliographic record,Final article preferred to earlier NBER versions; not full methods replication; DOI refetch failed but publisher record was read
historical-working-hours-source-ledger.csv,8,HH07,"Arbetstiden – lag eller avtal, SOU 2001:91",https://www.riksdagen.se/sv/dokument-och-lagar/dokument/statens-offentliga-utredningar/arbetstiden-lag-eller-avtal_gpb391/html/,2001,2026-09-09,official inquiry historical analysis,Institutional route and distribution of prosperity,relevant full HTML sections,Commission publication does not make every historical author judgement a committee finding; no causal outcome series
historical-working-hours-source-ledger.csv,9,HH08,"SoU 1973:14, working-time motions",https://data.riksdagen.se/dokument/fw01sou14,1973-04-25,2026-09-09,contemporary parliamentary report,Staged reductions and economic trade-offs,full HTML; relevant history and recommendation read,Historical rationale not present-day health evidence; no verified same-pay account
historical-working-hours-source-ledger.csv,10,HH09,The construction of the Aubry acts and preliminary evaluations,https://www.insee.fr/en/statistiques/1376473?sommaire=1376484,issue 2004; published 2005-06-01,2026-09-09,original institutional research,Deadlines; incentives; bargaining,official English abstract,Policy package combines several interventions
historical-working-hours-source-ledger.csv,11,HH10,"The shorter working week, productivity and employment: new estimates based on business data",https://www.insee.fr/en/statistiques/1376467?sommaire=1376484,issue 2004; published 2005-06-01,2026-09-09,original empirical study,Firm employment estimate and selection limits,official English abstract,"9.9% concerns compared firms, not national employment; no independent data replication"
historical-working-hours-source-ledger.csv,12,HH11,The effects of the shorter working week on employment: from ex-ante simulations to ex-post evaluations,https://www.insee.fr/en/statistiques/1376465?sommaire=1376484,issue 2004; published 2005-06-01,2026-09-09,original programme evaluation,Estimated jobs from combined policy,official English abstract,"350000 is estimated additional employment, not observed hours-only job count"
historical-working-hours-source-ledger.csv,13,HH12,Using Alsace-Moselle Local Laws to Build a Difference-in-Differences Estimation Strategy of the Employment Effects of the 35-Hour Workweek Regulation in France,https://www.journals.uchicago.edu/doi/abs/10.1086/605426,2009; Journal of Labor Economics,2026-09-09,peer-reviewed original study,No significant employment difference in comparison,publisher abstract,Read with HH13; regional differential not total package counterfactual
historical-working-hours-source-ledger.csv,14,HH13,Correction to the 2009 Alsace-Moselle article,https://www.journals.uchicago.edu/doi/full/10.1086/693983,2017-09-14,2026-09-09,author correction,Withdrawn supplementary results and retained main conclusions,full correction HTML,Not a retraction; no independent reanalysis conducted
historical-working-hours-source-ledger.csv,15,HH14,The shorter workweek and worker wellbeing: Evidence from Portugal and France,https://orbilu.uni.lu/handle/10993/46126,2019; Labour Economics,2026-09-09,peer-reviewed original study,Satisfaction gains across studied outcomes,official institutional record and indexed abstract,0.07–0.15 SD range not assigned to particular country/outcome without tables; not cohesion or AI capability
historical-working-hours-source-ledger.csv,16,HH15,Employed 40 Hours or Not Employed 39: Lessons from the 1982 Mandatory Reduction of the Workweek,https://www.iza.org/publications/dp/416/employed-40-hours-or-not-employed-39-lessons-from-the-1982-mandatory-reduction-of-the-workweek,IZA working paper 2001; journal article 2002,2026-09-09,original study record,Adverse job-loss finding in smaller reform,authors working-paper abstract,Different reform from Aubry; accompanying minimum-wage changes; no precise effect transferred
historical-working-hours-source-ledger.csv,17,HH16,"Lei n.º 21/96, de 23 de julho",https://diariodarepublica.pt/dr/detalhe/lei/21-1996-417040,1996-07-23,2026-09-09,original legislation,Phasing; averaging; effective-work definition,full original statutory text,Original law now marked revoked; not current legal advice
historical-working-hours-source-ledger.csv,18,HH17,How Working Time Reduction Affects Employment and Earnings,https://docs.iza.org/dp3723.pdf,"IZA DP 3723, 2008; Economics Letters 2010",2026-09-09,original empirical working paper; later journal study,Hours; pay; heterogeneous job-loss effects,full PDF downloaded and relevant methods/results read,Job loss includes record exits/job changes; related study HH18 is not independent experiment
historical-working-hours-source-ledger.csv,19,HH18,How a reduction of standard working hours affects employment dynamics,https://ciencia.ucp.pt/en/publications/how-a-reduction-of-standard-working-hours-affects-employment-dyna/,2010; De Economist; doi:10.1007/s10645-010-9142-5,2026-09-09,peer-reviewed original study,Employment through reduced destruction,official author-institution abstract,Related authors/data context to HH17; not necessarily additional hiring
historical-working-hours-source-ledger.csv,20,HH19,Firm-Level Effects of Reductions in Working Hours,https://www.parisschoolofeconomics.eu/app/uploads/2024/11/asai-kentaro-firm-level-effects-of-reductions-in-working-hours.pdf,working paper version 2024-01-11,2026-09-09,original working paper,Adverse firm hiring/output; higher hourly productivity,official indexed abstract and PDF metadata; full download blocked 403,Not verified as final journal result; full methods not audited; no magnitude quoted
historical-working-hours-source-ledger.csv,21,HH20,The employment effects of working time reductions: Sector-level evidence from European reforms,https://onlinelibrary.wiley.com/doi/full/10.1111/irel.12323,online 2022-12-07; 2023 issue 62(3):217–232,2026-09-09,peer-reviewed original comparative study,Hours fell; no identified employment increase,"full HTML; abstract, design and main-results passages read",Main hourly wage/productivity estimates not statistically significant; not proof of exact zero or all macro effects
historical-working-hours-source-ledger.csv,22,HH21,Committee debate on labour-standards changes,https://www.assnat.qc.ca/fr/travaux-parlementaires/commissions/cet-35-2/journal-debats/CET-970604.html,1997-06-04,2026-09-09,contemporary legislative proceedings,Negotiation; contested consensus; no compensation rule,full HTML retrieved with urllib after browser timeouts; relevant passages read,Political claims not independently established facts or voter evidence
historical-working-hours-source-ledger.csv,23,HH22,"Annuaire québécois des statistiques du travail, volume 1 numéro 2, historical conditions and dynamics",https://statistique.quebec.ca/fr/fichier/annuaire-quebecois-des-statistiques-du-travail-portrait-historique-des-conditions-et-de-la-dynamique-du-travail-volume-1-numero-2.pdf,historical yearbook; publication date not relied upon,2026-09-09,official statistical history,Annual October implementation steps,PDF indexed relevant passage,"Relevant passage reviewed, not entire 310-page yearbook"
historical-working-hours-source-ledger.csv,24,HH23,Identifying the Potential of Work-Sharing as a Job-Creation Strategy,https://www.journals.uchicago.edu/doi/abs/10.1086/511379,2007; Journal of Labor Economics 25(2):265–287,2026-09-09,peer-reviewed original study,Excess-over-40 hours fell; no job increase,publisher abstract and bibliographic record,20% is not total-hours reduction; full methods not independently audited
historical-working-hours-source-ledger.csv,25,HH24,"Measures to reduce working hours: Realization of Meaningful, Secure Employment",https://www.mhlw.go.jp/www2/english/e_text/outline/04-2.htm,undated contemporary policy page; references 1987–2001,2026-09-09,official contemporary policy description,Phasing; exceptions; supporting measures,full HTML,1800 annual hours is a target; not evidence of achievement or campaign impact
historical-working-hours-source-ledger.csv,26,HH25,Assessing the effects of reducing standard hours: Regression discontinuity evidence from Japan,https://doi.org/10.1016/j.jjie.2016.12.002,2017; Journal of the Japanese and International Economies; doi:10.1016/j.jjie.2016.12.002,2026-09-09,peer-reviewed original study,Heterogeneous hours effects; preserved pay; no jobs,official publisher indexed abstract and selected introduction/conclusion; direct access blocked,Final version preferred to earlier 2008 study; not national average treatment effect
historical-working-hours-source-ledger.csv,27,HH26,The 2018–2021 working time reform in Korea: A preliminary assessment,https://www.oecd.org/content/dam/oecd/en/publications/reports/2020/08/the-2018-2021-working-time-reform-in-korea-a-preliminary-assessment_6d52ea72/0e828066-en.pdf,2020; OECD working paper,2026-09-09,original institutional and empirical working paper,Earlier reform concessions; distinct later total cap,full PDF downloaded; relevant history and design read,Working-paper views are authors; normal hours and maximum total hours distinct
historical-working-hours-source-ledger.csv,28,HH27,The Impact of a Workweek Reduction on Labor Productivity,https://www.kdi.re.kr/eng/research/reportView?pub_no=15373,2017,2026-09-09,original research official summary,Annual output per worker estimate,full institutional summary,1.5% is not national hourly productivity; no independent microdata replication
historical-working-hours-source-ledger.csv,29,HH28,"Work Shorter, Be Happier? Longitudinal Evidence from the Korean Five-Day Working Policy",https://link.springer.com/article/10.1007/s10902-013-9468-1,online 2013; 2014 journal issue,2026-09-09,peer-reviewed original study,Hours satisfaction versus job/life satisfaction,publisher abstract and accessible notes; full paper paywalled,Work intensity is possible explanation; null does not prove exact zero for every population
implementation-evidence-ledger.csv,2,A2-01,"A2-01: ABS, Working arrangements, August 2025, paid-leave and work-arrangement sections.",https://www.abs.gov.au/statistics/labour/earnings-and-working-conditions/working-arrangements/aug-2025,August 2025 data,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,Official page retrieved; paid-leave/job-arrangement sections appraised,Survey categories are not individual legal classifications
implementation-evidence-ledger.csv,3,A2-02,"A2-02: Fair Work Ombudsman, Flexible working arrangements, request, response and dispute requirements.",https://www.fairwork.gov.au/employment-conditions/flexibility-in-the-workplace/flexible-working-arrangements,Current at retrieval,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,FWO request/response and dispute guidance retrieved,Not a universal shorter-hours right or individual legal ruling
implementation-evidence-ledger.csv,4,A2-03,"A2-03: Fair Work Commission, When an agreement passes, better-off-overall test and examples; general guidance, not a ruling on this proposal.",https://www.fwc.gov.au/when-agreement-passes,Current guidance; page last updated November 2024,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,BOOT definition and illustrative cases read,Award comparison does not prove programme-specific earnings promise fulfilled
implementation-evidence-ledger.csv,5,A2-04,"A2-04: Department of Health, Care minutes in residential aged care, sector averages and service-specific obligations.",https://www.health.gov.au/our-work/care-minutes-registered-nurses-aged-care/care-minutes,Current at retrieval,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,Care-minute page retrieved; sector-average and service-target distinction checked,Not a costing of additional staff or uniform target for every resident
implementation-evidence-ledger.csv,6,A2-05,"A2-05: Pink, Kamerāde and Burchell, 27-month council KPI evaluation (2025), PDF pages 4–7, findings and target distinction. Web PDF retrieved; direct download returned 403; no raw-data replication.",https://scambs.moderngov.co.uk/documents/s139839/Appendix%20B%20-%20South%20Cambridgeshire%20District%20Council%20Four-Day%20Week%20Trial%20-%20A%2027%20Month%20Key%20Performance%20.pdf,2025 evaluation; January 2023–March 2025 trial comparison,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,104-page PDF retrieved via web; key findings and target tables appraised; direct urllib 403; no raw-data replication,Adjusted/unadjusted findings differ; no significant difference is not equivalence
implementation-evidence-ledger.csv,8,B2-01,"B2-01: ABS, National, state and territory population, December 2025; Table 59 annual single-age workbook. Data1/Data2 Persons columns, latest annual row; June 2025 reference date.",https://www.abs.gov.au/statistics/people/population/national-state-and-territory-population/dec-2025 ; https://www.abs.gov.au/statistics/people/population/national-state-and-territory-population/dec-2025/3101059.xlsx,June 2025 age counts; December 2025 total; release June 2026,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,Official workbook downloaded; Persons columns extracted across Data1/Data2; age totals reconciled,ERP includes ineligible residents; no matched citizenship/PR count or 2035 projection
implementation-evidence-ledger.csv,9,B2-02,"B2-02: AI Adopt grant recipients, centre beneficiaries and functions.",https://business.gov.au/grants-and-programs/artificial-intelligence-ai-adopt-program/grant-recipients,Current grant-recipient list,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,Recipient functions read,SME focus; no individual national entitlement or cancelled budget inferred
implementation-evidence-ledger.csv,10,B2-03,"B2-03: Finance, the grants process, authority and expenditure requirements.",https://www.finance.gov.au/government/managing-commonwealth-resources/commonwealth-grants-rmg-410/grants-process,CGRPs 2024; current guidance,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,Authority and grants-process page retrieved,Final entitlement/grant/procurement classification requires specific legal design
implementation-evidence-ledger.csv,11,B2-04,"B2-04: Finance, Commonwealth grants FAQ, third-party administration obligations.",https://www.finance.gov.au/government/commonwealth-grants/frequently-asked-questions,Current FAQ,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,Third-party administration paragraph checked,Contracting does not remove government's applicable responsibilities
implementation-evidence-ledger.csv,12,B2-05,"B2-05: Services Australia, who we are, existing service/payment functions; no AI-wallet appointment inferred.",https://www.servicesaustralia.gov.au/who-we-are?context=22,Current at retrieval,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,Existing services/payment role read,"No appointment, capacity assessment or working AI wallet established"
implementation-evidence-ledger.csv,13,B2-06,"B2-06: DTA, BuyICT, digital sourcing functions.",https://www.dta.gov.au/our-initiatives/buyict,Current at retrieval,2026-09-09,SOURCE; INTERPRETATION AND DESIGN SEPARATE,,DTA BuyICT page retrieved,Panel suitability and specific contractual coverage not established
